Invoice_no,Customer_ID,Gender,Age,Category,Quantity_Sold,Unit_Price,Total_Revenue,Payment_Method,Invoice_Date,Shopping_Mall
I137065,C736428,Female,46,Food & Beverage,4,20.92,83.68,Cash,01/01/2022,Mall of Istanbul
I251307,C240510,Male,58,Shoes,1,600.17,600.17,Debit Card,01/01/2022,Mall of Istanbul
I292056,C353878,Female,69,Shoes,3,1800.51,5401.53,Cash,01/01/2022,Istinye Park
I570421,C180782,Female,21,Shoes,1,600.17,600.17,Credit Card,01/01/2022,Metrocity
I921349,C322855,Female,41,Toys,5,179.2,896,Credit Card,01/01/2022,Metrocity
I155847,C603796,Male,19,Shoes,3,1800.51,5401.53,Credit Card,01/01/2022,Mall of Istanbul
I553936,C114895,Female,29,Cosmetics,5,203.3,1016.5,Cash,01/01/2022,Mall of Istanbul
I110135,C241148,Female,33,Technology,3,3150,9450,Credit Card,01/01/2022,Emaar Square Mall
I248154,C590311,Female,69,Clothing,3,900.24,2700.72,Credit Card,01/01/2022,Mall of Istanbul
I185556,C189129,Female,64,Toys,1,35.84,35.84,Debit Card,01/01/2022,Metropol AVM
I286904,C111157,Female,19,Clothing,3,900.24,2700.72,Debit Card,01/01/2022,Mall of Istanbul
I206468,C209837,Male,65,Food & Beverage,2,10.46,20.92,Cash,01/01/2022,Metrocity
I318813,C219451,Female,48,Cosmetics,1,40.66,40.66,Cash,01/01/2022,Forum Istanbul
I879028,C279380,Female,29,Clothing,2,600.16,1200.32,Debit Card,01/01/2022,Metrocity
I247383,C171389,Male,29,Shoes,4,2400.68,9602.72,Credit Card,01/01/2022,Metrocity
I899781,C313947,Female,64,Souvenir,1,11.73,11.73,Cash,01/01/2022,Mall of Istanbul
I150455,C705680,Male,61,Clothing,2,600.16,1200.32,Cash,01/01/2022,Cevahir AVM
I291580,C118288,Female,59,Clothing,3,900.24,2700.72,Credit Card,01/01/2022,Mall of Istanbul
I187971,C253528,Female,61,Cosmetics,2,81.32,162.64,Cash,01/01/2022,Metropol AVM
I252998,C610346,Male,52,Clothing,1,300.08,300.08,Cash,01/01/2022,Metropol AVM
I138613,C134439,Male,43,Toys,4,143.36,573.44,Credit Card,01/01/2022,Istinye Park
I204764,C176034,Male,36,Cosmetics,1,40.66,40.66,Cash,01/01/2022,Metrocity
I303091,C272700,Female,32,Clothing,3,900.24,2700.72,Debit Card,01/01/2022,Mall of Istanbul
I175217,C253223,Female,58,Clothing,1,300.08,300.08,Debit Card,01/01/2022,Mall of Istanbul
I274321,C156731,Male,65,Food & Beverage,2,10.46,20.92,Debit Card,01/01/2022,Mall of Istanbul
I835883,C261682,Male,61,Cosmetics,3,121.98,365.94,Credit Card,01/01/2022,Kanyon
I254754,C978851,Female,64,Toys,2,71.68,143.36,Cash,01/01/2022,Metrocity
I705105,C313698,Male,19,Souvenir,3,35.19,105.57,Debit Card,01/01/2022,Kanyon
I906627,C179873,Male,48,Toys,4,143.36,573.44,Credit Card,01/01/2022,Metropol AVM
I106013,C272202,Female,61,Food & Beverage,1,5.23,5.23,Credit Card,01/01/2022,Mall of Istanbul
I147748,C699721,Male,32,Food & Beverage,2,10.46,20.92,Cash,01/01/2022,Kanyon
I126832,C124007,Male,69,Souvenir,1,11.73,11.73,Cash,01/01/2022,Kanyon
I450346,C139000,Female,38,Toys,4,143.36,573.44,Credit Card,01/01/2022,Kanyon
I316771,C151642,Male,56,Cosmetics,1,40.66,40.66,Cash,01/01/2022,Zorlu Center
I134852,C326905,Female,48,Clothing,1,300.08,300.08,Credit Card,01/01/2022,Forum Istanbul
I264279,C314285,Female,19,Toys,1,35.84,35.84,Cash,01/01/2022,Kanyon
I141754,C162456,Male,27,Cosmetics,1,40.66,40.66,Credit Card,01/01/2022,Metropol AVM
I154844,C303442,Male,37,Books,4,60.6,242.4,Cash,01/01/2022,Forum Istanbul
I289512,C431022,Male,53,Cosmetics,4,162.64,650.56,Debit Card,01/01/2022,Kanyon
I341543,C754279,Female,53,Clothing,5,1500.4,7502,Cash,01/01/2022,Metrocity
