States,Population_Total,Foreigners
Germany,"84,669,326","12,908,068"
Baden-Württemberg,"11,339,260","2,099,417"
Bayern,"13,435,062","2,156,229"
Berlin,"3,782,202","880,839"
Brandenburg,"2,581,667","194,123"
Bremen,"691,703","151,358"
Hamburg,"1,910,160","382,529"
Hessen,"6,420,729","1,246,937"
Mecklenburg-Vorpommern,"1,629,464","114,320"
Niedersachsen,"8,161,981","1,005,224"
Nordrhein-Westfalen,"18,190,422","2,936,791"
Rheinland-Pfalz,"4,174,311","591,432"
Saarland,"994,424","146,934"
Sachsen,"4,089,467","332,402"
Sachsen-Anhalt,"2,180,448","174,281"
Schleswig-Holstein,"2,965,691","318,736"
Thüringen,"2,122,335","176,516"
,,
,,
,,
