States,Population_Total,Foreigners_value,Foreigners_in_percentage
Baden-Württemberg,"11,339,260","2,099,417",16.26
Bayern,"13,435,062","2,156,229",16.70
Berlin,"3,782,202","880,839",6.82
Brandenburg,"2,581,667","194,123",1.50
Bremen,"691,703","151,358",1.17
Hamburg,"1,910,160","382,529",2.96
Hessen,"6,420,729","1,246,937",9.66
Mecklenburg-Vorpommern,"1,629,464","114,320",0.89
Niedersachsen,"8,161,981","1,005,224",7.79
Nordrhein-Westfalen,"18,190,422","2,936,791",22.75
Rheinland-Pfalz,"4,174,311","591,432",4.58
Saarland,"994,424","146,934",1.14
Sachsen,"4,089,467","332,402",2.58
Sachsen-Anhalt,"2,180,448","174,281",1.35
Schleswig-Holstein,"2,965,691","318,736",2.47
Thüringen,"2,122,335","176,516",1.37
